14:0_perDWT,TMTD_perDWT,14:1_perDWT,i15:0_perDWT,ai15:0_perDWT,15:0_perDWT,15:1_perDWT,i16:0_perDWT,ai16:0?_perDWT,pristanic?_perDWT,16:0_perDWT,16:1w11?_perDWT,16:1w9?_perDWT,16:1w7_perDWT,16:1w5_perDWT,i17:0_perDWT,ai17:0_perDWT,16:2w4_perDWT,phytanic?_perDWT,17:0_perDWT,16:3w4?_perDWT,17:1_perDWT,16:4w3?_perDWT,16:4w1_perDWT,18:0_perDWT,18:1w11?_perDWT,18:1w9_perDWT,18:1w7_perDWT,18:1w6?_perDWT,18:1w5?_perDWT,18:2a_perDWT,18:2b_perDWT,18:2w6_perDWT,18:2w4_perDWT,18:3w6_perDWT,19:0_perDWT,18:3w4_perDWT,18:3w3_perDWT,18:4w3_perDWT,18:4w1?_perDWT,20:0_perDWT,18:5w3_perDWT,20:1w11?_perDWT,20:1w9_perDWT,20:1w7?_perDWT,20:2a?_perDWT,20:2b?_perDWT,20:2w6_perDWT,20:3w6_perDWT,21:0_perDWT,20:4w6_perDWT,20:3w3_perDWT,20:4w3_perDWT,20:5w3_perDWT,22:0_perDWT,22:1w11(13)_perDWT,22:1w9_perDWT,22:1w7_perDWT,22:2NMIDa?_perDWT,22:2NMIDb?_perDWT,21:5w3?_perDWT,23:0_perDWT,22:4w6?_perDWT,22:5w6_perDWT,22:4w3?_perDWT,22:5w3_perDWT,24:0_perDWT,22:6w3_perDWT,24:1(24:1n-9)_perDWT,Bacterial_perDWT,SFA_perDWT,MUFA_perDWT,PUFA_perDWT,PUFA/SFA_perDWT,Sum_N-3_PUFA_perDWT,DHA/EPA_perDWT,Diatom_freshness_perDWT,Zooplankton_perDWT,Nearshore_perDWT,Diatom_Indicator_perDWT,Diatom_to_Flagellate_perDWT,Carnivory_benthic_pelagic_perDWT,Storage_lipid_diatom_perDWT,Membrane_lipid_diatom_perDWT,vial_id,year,cruise,gis_station,total_benthic_cpue,area_swept,cpue,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,maturity,mid_latitude,mid_longitude,bottom_depth,gear_temperature,sample_region,lme,bsierp_region
12.18,0.32,0.32,0.84,0.08,3.24,0,1.19,0.67,0,60.76,0,0,68.9,0.76,2.34,2.99,5.09,1.79,0,1.77,0,0.06,4.41,12.64,2.14,41.97,34.86,1.75,0.38,0,0,3.52,1.79,0.9,0,2.22,0.69,7.76,0,0,1.72,13.92,3.08,35.57,0,0,2.28,0,0.16,7.5,0,1.89,77.29,0.35,1.71,2.64,2.12,1.03,3.31,0,0,0,1.61,0,6.74,0.05,15.72,0.33,11.34,99.59,210.44,147.29,1.48,111.87,0.2,0.08,59.04,4.21,1.13,0.61,1.2,8.87,4.92,2019-11,2019,201902,V-24,2639.184729,0.01412747210032455,570605.7752409088,94,1,1,55.53,7.92,67.8,1.1139,0.2632,0,62.00723,-173.08002,58,0.8,7,NBS,10
25.26,0.09,1.02,0.77,0.07,1.81,0,0.79,0.61,0,55.08,0,0,28.43,0.83,2.29,1.02,2.7,1.22,0,1.84,0,0.04,1.14,9.96,0.8,54.98,18.5,2.84,0.4,0,0,7.58,0.57,0.48,0.55,0,2.8,2.92,0.37,0,3.93,37.1,10.66,6.91,0,0,2.83,0,0.14,4.85,0,1.29,45.49,0.25,29.15,6.49,1.79,1.12,0.7,0,0,0.14,0.92,0.1,6.69,0.06,31.2,2.28,7.38,99.99,202.16,119.71,1.2,94.46,0.69,0.06,92.08,10.38,0.52,0.31,2.97,9.73,1.46,2019-12,2019,201901,N-31,2611.952484,0.0138915643311522,1511.708796748466,162,177,2,54.64,0,52.4,0.7629,0.1961,0,59.32743,-177.05585,149,3.2,5,EBS,8
7.47,0.13,0.18,1.33,0.05,1.99,0,0,0.33,0,37.39,0,0,38.24,0.73,2.75,3.9,2.58,1.13,0,1.97,0,0.07,1.15,9.27,1.46,37.83,29.87,1.91,0.55,0,0,3.6,1.58,0.59,0,1.2,0.19,3.07,0.5,0,2.03,11.25,6.15,24.48,0,0,2.2,0,0.06,6.45,0,0.97,40.15,0.22,1.13,3.14,5.16,0.6,1.69,0,0,0,1.52,0,6.35,0.04,11.73,0.72,10.35,66.06,162.79,90.18,1.37,64.57,0.29,0.07,51.31,3.79,1.02,0.45,1.27,12.44,3.42,2019-13,2019,201902,W-27,193.027395,0.01495924640185965,67622.14170589813,162,1,1,85.09,15.04,230.6,1.0088,0.1771,0,62.31661,-175.31904,80,0.2,7,NBS,10
10.38,0.22,0.36,0.76,0.06,2.46,0,1.05,0.31,0,40.81,0,0.27,53.67,0.66,1.98,2.64,4.02,1.4,0,2.07,0,0.05,2.44,8.63,1.25,36.51,27.45,1.56,0.33,0,0,2.84,1.51,0.78,0,1.15,0.42,4.48,0.67,0,1.95,9.23,4.68,23.11,0,0,1.92,0,0.1,7.66,0,1.23,53.5,0.31,1.42,3.8,2.89,0.6,1.87,0,0,0.06,2.29,0.03,6.03,0.03,11.91,0.31,9.26,71.14,167.5,109.49,1.54,79.61,0.22,0.08,45.13,3.26,1.31,0.62,1.33,11.98,4.49,2019-14,2019,201902,W-27,193.027395,0.01495924640185965,67622.14170589813,162,1,1,93.94,13.48,224.8,0.9917,0.2046,0,62.31661,-175.31904,80,0.2,7,NBS,10
9.72,0.25,0.47,1.49,0.06,2.85,0,1.95,0.42,0,49.44,0,0,56.34,1.01,3.25,4.36,4.17,1.69,0,3.21,0,0.08,1.9,11.57,2.27,43.61,35.57,2.33,0.52,0,0,3.94,2,0.77,0,1.5,0.42,3.68,0.67,0,0.53,14.82,6.62,29.43,0,0,2.58,0,0.14,9.18,0,1.38,58.75,0.36,2.28,4.49,3.51,0.83,2.93,0,0,0.06,2.18,0,8.74,0.05,16.83,0.93,14.38,87.59,204.19,126.33,1.44,90.42,0.29,0.08,61.15,4.36,1.14,0.69,1.23,15.3,3.49,2019-15,2019,201902,W-27,193.027395,0.01495924640185965,67622.14170589813,162,1,1,79.23,13.57,199.4,1.1415,0.2166,0,62.31661,-175.31904,80,0.2,7,NBS,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-16,2019,201902,W-27,193.027395,0.01495924640185965,67622.14170589813,162,1,1,80.69,14.25,208.7,0.9922,0.2586,0,62.31661,-175.31904,80,0.2,7,NBS,10
24.4,0.08,0.9,0.67,0.08,1.61,0,0,0.64,0,55.36,0,0,32.8,0.73,2.04,0.94,2.18,1.16,0,1.74,0,0.04,1.33,9.54,0.8,55.61,18.38,2.75,0.36,0,0,7.79,0.57,0.45,0.07,0,3.98,3.68,0.38,0,2.48,37.42,11.53,6.22,0,0,2.72,0,0.12,4.59,0,1.32,39.61,0.26,37.43,5.71,1.56,0.9,0.49,0,0,0,0.7,0,5.63,0.06,23.57,2.37,5.97,97.02,214.58,104.17,1.07,80.32,0.6,0.06,99.87,11.78,0.59,0.27,3.03,8.91,1.68,2019-17,2019,201901,N-31,2611.952484,0.0138915643311522,1511.708796748466,162,177,2,53.46,0,50.8,1.0287,0.2504,0,59.32743,-177.05585,149,3.2,5,EBS,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-18,2019,201901,PO2423,2291.269765,0.0145501203732786,272172.1311167171,94,159,1,81.02,12.73,181.2,0.9145,0.0666,0,59.83477,-172.24578,76,2.3,4,EBS,9
6.13,0.17,0.29,0.56,0.04,1.99,0,0,0.41,0,29.53,0,0,36.49,0.59,1.85,2.27,3.27,1.01,0,0.99,0,0.05,1.52,8.05,1.51,21.17,23.64,1.31,0.37,0,0,3.56,1.71,0.71,0,1.61,0.26,3.71,0,0,1.63,10.56,2.78,29.21,0,0,2.23,0,0,6.52,0,1.46,54.54,0.25,1.11,2.91,3.77,0.75,1.88,0,0,0,1.75,0,6.51,0.03,12.91,0.37,7.12,52.3,136.1,107.55,2.06,81.06,0.24,0.08,50.35,3.82,1.24,0.44,0.9,9.84,4.23,2019-19,2019,201901,PO2423,2291.269765,0.0145501203732786,272172.1311167171,94,159,1,82.32,13.07,209.8,0.9893,0.2721,0,59.83477,-172.24578,76,2.3,4,EBS,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-20,2019,201901,PO2423,2291.269765,0.0145501203732786,272172.1311167171,94,159,1,82.18,12.92,202.3,0.9261,0.0909,0,59.83477,-172.24578,76,2.3,4,EBS,9
2.71,0.09,0.03,0.4,0.02,0.99,0,0,0.29,0,17.64,0,0,14.44,0.35,1.74,1.8,2.23,1.01,0,0.96,0,0.14,0.55,5.8,1.03,10.82,11.81,1.22,0.38,0,0,1.5,0.87,0.33,0,0.61,0.35,0.99,0.3,0,2.23,5.02,2.05,8.76,0,0,1.59,0,0,6.75,0,0.49,39.44,0.34,1.3,2.09,2.09,0.31,1.21,0,0,0,1.07,0,4.76,0.17,12.34,0.79,5.25,33,62.2,79.03,2.39,60.74,0.31,0.11,21.32,1.85,0.82,0.54,0.92,14.6,3.2,2019-21,2019,201901,PO2423,2291.269765,0.0145501203732786,272172.1311167171,94,159,1,80.68,13.36,184.8,1.0241,0.1056,0,59.83477,-172.24578,76,2.3,4,EBS,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-22,2019,201901,PO2423,2291.269765,0.0145501203732786,272172.1311167171,94,159,1,86.37,13.97,230.1,1.59,0.1385,0,59.83477,-172.24578,76,2.3,4,EBS,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-23,2019,201901,PO2423,2291.269765,0.0145501203732786,272172.1311167171,94,159,1,85.96,14.03,235.4,0.9444,0.089,0,59.83477,-172.24578,76,2.3,4,EBS,9
1.06,0.05,0.03,0.15,0.09,0.46,0,0,0.08,0,8.21,0,0,5.91,0.14,0.8,0.74,0.63,0.63,0,0.49,0,0.08,0.26,3.31,0,5.4,7.08,0,0.18,0,0,0.67,0.45,0.24,0,0.27,0.2,0.39,0.14,0,1.6,2.09,0.9,3.68,0,0,0.69,0,0,4.03,0,0.22,19.1,0.18,0,0.67,0.82,0.09,0.36,0,0,0,0.63,0,2.42,0.1,5.95,0.39,2.32,15.86,27.28,38.9,2.45,29.95,0.31,0.09,8.16,0.87,0.72,0.37,0.76,15.05,3.21,2019-24,2019,201901,PO2524,2645.963026,0.00989135557344,125795.09256962893,94,158,1,80.18,12.79,184.2,1.1797,0.1215,0,59.83709,-172.89989,80,2.4,4,EBS,9
9.38,0.31,0.29,0.57,0.05,3.08,0,1.04,0.38,0,53.42,0,0,58.86,0.68,2.16,2.5,4.38,1.24,0,1.27,0,0.05,3.31,11.26,1.64,32.62,25.81,1.48,0.33,0,0,2.98,2.05,0.81,0,1.92,0.53,6.19,0,0,1.98,11.54,4.78,29.03,0,0,1.99,0,0.12,6.97,0,1.85,67.54,0.34,1.44,4.51,1.82,0.59,2.06,0,0,0.44,2.2,0,6.67,0.03,14.39,0.42,9.78,85.88,175.25,130.15,1.52,99.18,0.21,0.07,53.12,3.51,1.1,0.55,1.26,9.51,4.69,2019-25,2019,201902,V-24,2639.184729,0.01412747210032455,570605.7752409088,94,1,1,70.77,10.17,126.9,1.0229,0.2416,0,62.00723,-173.08002,58,0.8,7,NBS,10
1.91,0.07,0,0.24,0.15,0.54,0,0,0.13,0,10.19,0,0,5.77,0.16,1.29,1.15,0.72,0.81,0,0.61,0,0.13,0.11,4.78,0,7.66,8.73,0,0.22,0,0,0.8,0.48,0.2,0,0.3,0.21,0.28,0.29,0,1.48,4.04,1.24,3.51,0,0,0.8,0,0,5.26,0,0.24,0,0.21,0,1.66,1.78,0.2,0.48,0,0,0,0.71,0,2.89,0.13,7.15,0.79,3.51,21.61,35.56,23.35,1.08,12.38,NA,0.09,12.23,1.02,0.57,0.39,0.88,20.49,0,2019-26,2019,201901,PO2524,2645.963026,0.00989135557344,125795.09256962893,94,158,1,80.78,11.47,185.8,1.3577,0.1022,0,59.83709,-172.89989,80,2.4,4,EBS,9
13.06,0.25,0.26,0.52,0.04,1.86,0,0,0.35,0,41.91,0,0,41.53,0.81,1.35,1.4,4.7,1.3,0,1.55,0,0.05,1.25,8.93,1.21,35.25,31.68,2.36,0.28,0,0,8.38,1.17,0.95,0,0,0.75,2.58,0.41,0,1.72,10.02,4.64,19.7,0,0,2.31,0,0,5.14,0,1.27,50.38,0.37,1.79,2.59,2.92,0.44,1.64,0,0,0.12,0.8,0,4.59,0.17,21.28,0.89,5.52,71.51,155.91,111.48,1.56,82.62,0.42,0.08,41.65,9.13,0.99,0.47,1.11,16.07,2.37,2019-27,2019,201901,S-23,2864.920859,0.014252620501152,136558.0385615884,94,168,2,50.89,0,41.4,0.7042,0.2149,0,61.00078,-172.16231,64,1.9,4,EBS,9
10.18,0.2,0.21,0.32,0.03,1.52,0,0,0.61,0,34.95,0,0,35.51,0.72,0.98,1.04,5.59,0.94,0,1.25,0,0.03,0.76,6.54,1.34,27.11,24.71,1.92,0,0,0,7.96,1.21,0.75,0,0.46,0.54,1.53,0.46,0,0.54,8.16,2.11,13.41,0,0,1.83,0,0,4.08,0,0.68,40.69,0.24,0,2.94,3.48,0.33,1.06,0,0,0.33,0.85,0,3.18,0.15,17.97,0.76,4.5,57.7,122.41,92.07,1.6,65.15,0.44,0.1,30.11,8.5,1.02,0.57,1.1,23.2,2.26,2019-28,2019,201901,R-22,108.807972,0.0141907482154284,357176.8889880896,94,166,2,53.78,0,45.7,0.9808,0.2337,0,60.6571,-171.43228,63,2.2,4,EBS,9
15.67,0.29,0.34,0.73,0.05,2.84,0,1.01,0.47,0,56.76,0,0,54.28,1,2.02,2,5.86,1.66,0,2.37,0,0.04,0.02,12.86,1.4,44.74,42.19,2.83,0.32,0,0,8.89,1.65,1.06,0,1.14,0.97,3.44,0.41,0,1.98,16.45,6.31,33.51,0,0,2.94,0,0.14,7.18,0,1.42,64.34,0.37,2.99,3.92,3.19,0.57,4.09,0,0,0,1.36,0,6.19,0.17,30.19,1.19,9.13,97.04,214.66,146.11,1.51,108.58,0.47,0.07,66.37,9.86,0.96,0.42,1.06,15.76,2.13,2019-29,2019,201901,S-23,2864.920859,0.014252620501152,136558.0385615884,94,168,2,54.56,0,48.7,0.6917,0.2422,0,61.00078,-172.16231,64,1.9,4,EBS,9
13.2,0.28,0.29,0.35,0.04,2.23,0,0,0.1,0,39.19,0,0,46.97,0.58,1.64,1.62,2.69,0.95,0,1.73,0,0.05,1.72,8.46,0.87,25.61,17.3,0.83,0.22,0,0,7.38,0.68,0.91,0,0.75,0.6,2.55,0.53,0,0.6,6.93,2.59,16.29,0,0,1.79,0,0,6.65,0,0.9,56.18,0.25,1.02,1.69,1.18,0.37,1.06,0,0,0,1.16,0,5.66,0.07,15.78,0.54,5.99,68.38,122.91,109.74,1.6,82.33,0.28,0.07,29.7,7.98,1.2,0.44,1.48,18.41,3.56,2019-30,2019,201901,S-24,335.943917,0.0145410472330266,263874.80891232594,94,171,2,64,0,84.3,0.6515,0.1625,0,61.00004,-172.80977,66,2.3,4,EBS,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-31,2019,201901,S-22,170.42632700000001,0.01444197857091,250671.82050055408,94,167,2,51.87,0,43.8,0.6212,0.1369,0,60.99637,-171.47555,60,2.1,4,EBS,9
